year,1501001002,1501001003,1501001006,1502000101,1502000102,1502000201,1502000501,1502000806,1502001501,1503010103,1503010104,1503010107,1503010302,1503010503,1503010504,1503010505,1503010601,1503010602,1503010701,1503010702,1503010803,1503020106,1503020301,1503020305,1503020404,1504000207,1504000208,1504000403,1504000506,1504000507,1504000508,1504000509,1504000603,1504000604,1504000606,1505010001,1505010002,1505010004,1505010007,1505020106,1505020107,1505020205,1505020206,1505020207,1505020208,1505020209,1505020211,1505020302,1505020303,1505020305,1505020307,1505020308,1505020309,1505030101,1505030102,1505030103,1505030104,1505030105,1505030106,1505030107,1505030108,1505030109,1505030201,1505030202,1505030203,1505030302,1505030401,1506010304,1506010306,1506010502,1506010503,1506010504,1506010603,1506020107,1506020108,1506020201,1506020203,1506020205,1506020206,1506020207,1506020301,1506020302,1506020303,1507010101,1507010102,1507010202,1507010204,1507010205,1507010206,1507010208,1507010209,1507010301,1507010303,1507010305,1507010405,1507010406,1507010407,1507020111,1507020113,1507020115,1508010203,1508030103,1508030104,1508030201
1999,,,,42.25,18.5,102.5,57.0,11.0,77.2,69.5,20.0,32.5,118.5,87.7,116.7,57.0,91.0,50.0,16.0,,5.0,25.0,54.75,,61.15,54.0,40.5,,45.0,37.0,,,100.35,65.75,100.77,,,21.95,41.9,89.5,65.0,67.0,60.0,80.2,70.0,50.1,35.0,51.0,66.4,6.05,,,,6.04,22.9,26.0,40.9,22.4,32.875,,61.5,99.52,,43.195,34.6275,20.0,62.0,80.0,,66.5,41.5,29.0,58.0,76.25,38.4225,14.0,,40.0,46.5,37.5,24.0,32.43,38.75,44.35,75.0,59.599999999999994,47.0,50.25,76.75,53.0,135.5,,,105.0,32.6,85.0,80.0,,,,107.94,28.6,41.25,29.0
2000,70.0,,,48.5,26.0,40.0,153.0,13.0,89.45,40.0,18.75,28.0,93.0,84.25,100.7,76.5,137.1,48.5,12.0,,6.0,,52.0,,61.599999999999994,,20.0,76.5,56.0,40.0,62.0,,101.72,51.0,101.72,21.0,21.0,9.5,,46.75,43.5,99.0,17.795,66.56,32.5,140.0,31.5,,41.8,6.05,55.0,14.7,21.0,5.19,18.2,18.7,44.55,18.65,41.7,74.8,84.19,88.0,155.0,37.75,52.3,37.1,85.0,13.5,43.0,140.0,42.45,17.0,75.0,85.0,104.6,12.1,23.0,102.5,26.0,23.0,,65.95,20.5,50.0,62.0,46.5,34.0,7.0,20.0,70.0,46.5,35.0,16.25,85.0,29.0,102.5,97.5,,,12.5,110.31,35.0,,29.3
2001,67.5,52.0,52.0,12.0,24.0,26.0,,13.0,91.2,37.0,15.0,68.0,136.1,83.65,100.65,67.25,,45.0,31.5,12.0,8.5,21.0,,,34.875,63.0,66.5,12.0,43.25,45.25,57.949999999999996,47.0,102.315,70.99,102.315,53.75,22.7,,,50.0,,43.7,87.775,58.325,47.3,45.5,40.3,56.86,,4.05,53.05,33.245,27.6,6.42,9.5,9.3,20.5,14.735,,64.65,86.7,107.35,,31.6,62.015,38.6,,,67.5,,37.05,,25.0,68.85,40.75,26.0,154.0,92.5,53.5,31.925,50.0,47.9,51.25,,85.0,55.0,10.0,15.5,,25.0,62.0,,23.0,87.0,24.0,95.0,102.5,,70.0,,109.22,40.1,43.3,
2002,55.0,54.0,54.0,40.0,78.0,,35.5,13.75,82.62,,10.0,,,,,70.5,128.0,,21.5,13.06,10.0,,,106.0,,22.0,,,73.0,37.25,,20.0,103.0,,103.0,86.4,,25.025000000000002,,78.5,50.0,75.0,80.96,67.07,37.0,60.45,34.775,,23.0,18.475,12.0,30.8,47.0,24.315,17.5,19.705,20.16,16.735,,170.825,,124.15,,63.545,112.0,,32.0,28.5,44.75,,32.445,26.0,36.0,45.335,86.6,47.665,65.55000000000001,44.075,32.5,40.675,,40.99,30.0,66.8,65.0,15.0,45.0,,62.0,127.4,60.0,30.0,93.6425,88.25,,97.5,78.0,15.0,15.0,30.0,110.71,,150.5,29.95
2003,,,,30.0,30.0,40.0,49.5,12.0,85.85,22.0,18.0,,45.0,,,67.0,,42.0,13.0,13.18,10.0,79.0,39.599999999999994,,,,32.195,,46.0,49.7,57.0,57.0,103.945,72.8,103.945,43.08,25.72,,109.55000000000001,44.0,54.0,,61.0,79.62,43.5,45.0,44.275,42.0,37.5,38.975,62.35,32.9,25.72,,28.015,26.73,56.875,29.04,64.55,89.0,103.95,118.89999999999999,,97.91,71.1,54.75,92.8,,50.0,65.0,42.3,40.0,43.65,32.0,86.6,42.3125,52.9,109.4875,32.769999999999996,35.25,,43.65,34.45,46.075,47.9,53.05,35.0,35.0,39.195,170.0,98.0,,100.0,70.0,25.2,103.75,87.5,,65.0,,111.83,51.0,44.0,30.439999999999998
2004,34.0,34.0,34.0,,38.5,,15.0,12.0,93.1,80.0,19.5,,,87.1,87.1,73.125,138.5,,11.0,14.41,10.0,,42.175000000000004,,,15.5,32.625,,56.0,46.5,38.0,42.51,104.965,71.7,104.965,87.23,,11.7,,71.0,,36.0,64.0,67.76,98.0,62.199999999999996,33.8,,56.1,14.24,63.8,47.2575,,,34.9,27.299999999999997,,31.799999999999997,,,119.2,118.0,61.0,67.8,75.4075,50.0,,20.0,55.5,,37.0,,81.55,55.650000000000006,117.45,37.89,,54.5,68.0,22.0,140.0,44.0,75.0,60.825,50.0,62.25,20.0,,60.0,,,21.7,32.65,84.5,,162.0,72.67,10.0,38.5,10.5,112.63,41.75,53.824999999999996,36.3
2005,,,,31.0,30.5,,99.0,16.0,64.7,49.5,19.0,,53.25,82.15,101.2,70.0,137.8,,12.0,14.5,10.0,,23.700000000000003,,14.9,,57.5,,58.5,45.0,43.1,48.85,105.58,72.25,105.93,,,,70.0,62.1,72.67500000000001,43.0,101.25,67.83,,63.239999999999995,52.59,61.0,75.6,17.8,61.2,,,39.3,47.787499999999994,33.65,40.75,27.5,70.45,58.5,115.25,106.2,128.025,33.375,25.1,54.75,,19.0,,,36.1,23.0,23.7,91.3,82.85,25.5,,41.75,56.0,54.95,,29.875,22.0,24.2,16.4,94.2,,,,,,,,66.0,27.0,,,,11.4,9.2,114.145,25.0,,30.2
2006,20.0,20.0,20.0,,67.0,61.5,107.0,15.0,22.83,55.5,44.65,69.0,48.0,85.7,,62.0,137.5,,12.0,16.12,10.0,,56.849999999999994,61.35,,70.0,41.925,,77.0,33.6,55.3,23.2,106.825,,106.825,17.134999999999998,22.4675,13.6,,80.0,,102.0,32.5,65.80000000000001,114.80000000000001,57.125,38.035,53.1,54.05,16.0,28.6,40.1,12.192499999999999,5.89,32.505,32.505,,34.5,,,118.6,95.79,35.0,51.2,54.677499999999995,50.7,58.75,80.0,,,,,78.55,91.6,102.4,32.489999999999995,48.0,38.45,69.75,73.65,,,44.225,53.45,15.5,53.0,,,,,,,,,27.4,,,9.0,11.45,13.5,114.53,51.0,47.5,28.7
2007,42.5,42.5,20.5,,49.0,,120.0,0.0,48.83,,,80.0,,86.25,102.35,69.0,138.3,,,17.79,13.5,,74.3,87.3,58.65,62.5,35.225,10.0,64.0,26.35,35.0,47.34,111.935,77.63,107.66499999999999,56.15,22.8,15.525,154.2,57.0,,,102.0,80.6325,,65.375,56.1,,73.9,9.4,70.25,28.2,29.4,14.809999999999999,22.34,23.3,42.6,24.8,73.13,,108.86,120.3725,94.4,49.0,127.6125,38.5,94.6,,43.0,,48.0,22.0,83.25,100.0,83.9,39.625,53.47,43.5,65.0,49.1,29.0,43.0,29.0,32.85,15.0,52.295,,,,,75.0,,,,24.5,,,14.0,12.175,68.85,115.32,,70.0,58.95
2008,,60.0,60.0,20.0,3.0,,99.3,,49.595,84.25,17.0,45.0,,90.9,,68.0,,,15.5,20.424999999999997,11.0,25.175,36.61,89.3,59.9,59.0,57.5,23.5,67.0,42.0,,,108.625,80.08,108.625,88.2,,,,70.5,,18.5,20.5,94.7,,83.5,79.3,,72.2,11.4,,20.7,,17.0,25.315,20.0,34.05,23.125,69.4,,97.98,107.8,95.8,48.82,76.705,,94.7,,32.0,19.5,25.92,18.299999999999997,83.05,85.75,63.8,54.364999999999995,,76.8,41.2,44.1,,32.6,32.725,39.9,41.900000000000006,54.55,16.48,,,,28.5,,75.0,7.7,26.4,,,63.0,8.0,9.5,116.28,,,
2009,,31.0,31.0,26.0,,,,,123.1,,,,,88.0,,118.0,128.7,,,21.34,,,36.455,91.4,57.449999999999996,,48.9,,50.0,43.5,,23.4,109.76,78.0,109.76,57.2,24.0,32.2,,71.0,,,123.0,123.0,,58.85,56.85,,82.9,13.0,,30.4,24.0,69.37,26.085,19.8,34.7,16.4,60.79,,91.76,98.83,95.2,44.585,75.815,,95.0,,60.0,,32.349999999999994,12.5,76.775,67.4,63.4,49.864999999999995,53.8,9.9,33.75,26.8,91.8,32.349999999999994,28.15,31.3,47.5,86.75,18.16,,69.9,,,,,50.5,28.2,,,,12.7,11.35,107.185,12.82,,30.7
2010,11.0,11.0,11.0,30.0,30.0,,,15.0,,,,,,97.85,105.375,69.8,138.6,,,22.89,,,29.9,93.0,58.905,,43.7,,55.0,30.475,46.1,56.225,,78.8,,56.0,22.3,,,,,,80.85,121.7,,58.650000000000006,58.3,,70.5,15.9,59.6,30.3,22.3,75.6,23.25,24.675,43.425,20.1,39.9,121.5,105.17,109.41,95.2,48.112500000000004,104.3075,40.66,59.9,,,,38.85,,38.0,61.4,84.05,62.1,27.65,43.0,48.4,43.55,,38.85,53.2,47.85,15.7,36.95,,,,,,,,,26.0,,,,,,119.94,,,31.1
2011,1.0,1.0,1.0,,,,29.75,,95.6,,5.0,,,92.4,,56.0,,,,21.63,6.0,,46.84,100.8,58.625,,38.05,19.0,61.0,46.6625,53.040000000000006,47.3,110.57,79.6,91.0,,,11.8,,64.0,,,121.9,121.9,,,,,,19.085,62.0,,,67.65,20.740000000000002,12.092500000000001,40.15,18.2,98.1,,,124.17999999999999,,46.39,59.150000000000006,43.9,96.0,,,,44.55,,86.35,61.1,62.0,48.95,,47.3,46.2,45.0,,46.6,54.2,31.65,32.85,55.35,13.49,,,,,64.0,,,25.5,,,,12.899999999999999,13.1,120.82,39.855000000000004,65.0,18.15
2012,,,,,80.0,,,42.0,98.80000000000001,23.5,,64.0,,94.0,,63.0,139.3,,,25.64,,,43.86,,59.4,58.0,,,,37.125,,,111.25,81.0,111.25,,,14.7,,,,,122.2,122.2,,59.6,60.25,,83.1,24.125,,19.05,,69.425,30.165,24.8,41.6,25.9,102.91,,111.7,150.655,104.8,54.64,62.4125,,95.4,,,,48.2,35.0,81.4,78.3,84.2,66.09,54.1,45.35,51.25,49.75,,34.1,54.25,47.7,47.7,90.75,16.65,,,,,,,,,,,,,,121.54,17.54,,30.7
2013,,,,,,,,,110.2,100.0,,,,,,65.0,,,,24.48,10.0,,40.525,94.4,,,32.25,,,38.0,34.2,44.0,111.59,57.6,111.59,55.3025,28.1,15.3,,,,,122.1,122.1,,62.025,60.599999999999994,,93.30000000000001,26.5,57.8,33.425000000000004,27.0,73.7,29.605,25.6525,43.45,20.7,103.45,,114.5,83.21,95.6,59.93,88.38250000000001,56.2,95.8,,,,34.6,17.0,68.9,75.55,84.75,66.6,54.61,44.699999999999996,61.6,51.35,,46.95,53.9,32.15,31.8,60.3,14.27,,,54.0,,,,31.8,,,,,47.0,,121.57,11.11,,30.4
