Decade,Combo_ID,1980,1990,2000,2010,2020
619,87617,21.336,,,,
620,87626,26.8224,,,,
621,87628,4.8768,,,,
622,87633,14.6304,,,,
623,87634,21.336,,,,
624,87643,29.8704,,,,
625,87647,32.004,,,,
626,87649,27.432,,,,
627,87652,12.4968,,,,
628,87653,10.9728,,,,
629,87654,12.8016,,,,
630,87655,12.192,,,,
631,87660,26.2128,,,,
632,87676,7.62,,,,
633,87677,12.192,,,,
634,87679,25.908,,,,
635,87680,33.528,,,,
636,87684,21.336,,,,
637,87686,9.7536,,,,
638,87690,27.432,,,,
639,87692,18.288,,,,
640,87693,23.1648,,,,
641,87705,0,,,,
642,87714,7.3152,,,,
643,87715,18.288,,,,
644,87716,0,,,,
645,87719,5.4864,,,,
646,87720,10.668,,,,
647,87721,46.6344,,,,
648,87724,0,,,,
649,87725,6.7056,,,,
650,87726,18.5928,,,,
651,87728,18.8976,,,,
652,87729,10.216896,,,,
653,87730,25.908,,,,
654,87731,18.288,,,,
655,87732,0,,,,
656,87736,19.812,,,,
657,87741,23.4696,,,,
658,87753,30.7848,31.34868,,32.64408,
659,87763,15.24,,,,
660,87764,10.668,,,,
661,87770,14.6304,,18.98904,,
662,87774,12.8016,,,,
663,87776,15.24,,,,
664,87778,24.9936,,,,
665,87780,18.288,,,,
666,87781,16.1544,,,,
667,87784,8.8392,9.32688,,,
668,87785,27.1272,,,,
669,87790,3.6576,,,,
670,87793,12.192,,,,
671,87794,24.384,,,,
672,87795,33.528,,,,
673,87803,24.384,,,,
674,87804,16.1544,,,,
675,87810,27.432,,,,
676,87819,26.2128,,,,
677,87821,23.1648,,,,
678,87823,30.48,,,,
679,87824,1.8288,1.17348,1.40208,,
680,87825,20.1168,,,,
681,87827,17.0688,,,,
682,87828,19.812,,,,
683,87830,30.48,,,,
684,87831,22.86,,,,
685,87833,25.908,,,,
686,200008,,,26.8224,,
687,200018,,,11.5824,,
688,200037,,,12.192,,
689,200040,,,13.4112,,
690,200060,,,7.9248,,
691,200061,,,35.052,,
692,200063,,,33.528,,
693,200064,,,12.192,,
694,200078,,,14.3256,,
695,200079,,,14.3256,,
696,200082,,,17.0688,,
697,200090,,,29.2608,,
698,200096,,,51.816,,
699,200111,,,5.1816,,
700,200113,,,5.4864,,
701,200117,,,29.2608,,
702,200120,,,15.24,,
703,200123,,,35.3568,,
704,200130,,,26.2128,,
705,200131,,,26.2128,,
706,200132,,,26.2128,,
707,200138,,,3.3528,,
708,200139,,,3.6576,,
709,200140,,,3.6576,,
710,200141,,,3.3528,,
711,200142,,,3.3528,,
712,200143,,,3.3528,,
713,200147,,,16.764,,
714,200148,,,39.624,,
715,200152,,,12.192,,
716,200155,,,4.572,,
717,200174,,,14.6304,,
718,200177,,,16.1544,,
719,200181,,,27.432,,
720,200214,,,28.956,,
721,200218,,,25.908,,
722,200232,,,10.3632,,
723,200234,,,6.7056,,
724,200248,,,15.24,,
725,200261,,,8.5344,,
726,200262,,,8.5344,,
