,Decade,huc4,DTW_Category,Well Count
145,2020,1504,Deep (10-61m),53
146,2020,1504,Near Surface (<2m),1
147,2020,1504,Shallow (5-10m),16
148,2020,1504,Very Shallow (2-5m),3
149,2020,1505,Deep (10-61m),143
150,2020,1505,Near Surface (<2m),7
151,2020,1505,Shallow (5-10m),91
152,2020,1505,Very Shallow (2-5m),66
153,2020,1506,Deep (10-61m),136
154,2020,1506,Near Surface (<2m),10
155,2020,1506,Shallow (5-10m),58
156,2020,1506,Very Shallow (2-5m),37
157,2020,1507,Deep (10-61m),67
158,2020,1507,Near Surface (<2m),1
159,2020,1507,Shallow (5-10m),29
160,2020,1507,Very Shallow (2-5m),9
161,2020,1508,Deep (10-61m),11
162,2020,1508,Near Surface (<2m),4
163,2020,1508,Shallow (5-10m),11
164,2020,1508,Very Shallow (2-5m),6
